"","state","Police_protection","Correction","pop","police_correction_per_capita","year"
"1","Alabama",1453284,886720,5024279,465.739263285339,2020
"2","Alaska",405927,347578,733391,1027.4260251353,2020
"3","Arizona",2916902,1847348,7151502,666.188725109774,2020
"4","Arkansas",736615,537521,3011524,423.086782638956,2020
"5","California",22281769,16481140,39538223,980.390772746666,2020
"6","Colorado",2316578,1504750,5773714,661.849201397922,2020
"7","Connecticut",1293359,716415,3605944,557.350308268792,2020
"8","Delaware",390875,362801,989948,761.328877880454,2020
"9","District of Columbia",681236,262352,689545,1368.42120528754,2020
"10","Florida",10100205,5011464,21538187,701.622146748006,2020
"11","Georgia",3042143,2175003,10711908,487.041710963164,2020
"12","Hawaii",543158,234183,1455271,534.155494062618,2020
"13","Idaho",540049,488498,1839106,559.264664461972,2020
"14","Illinois",5678179,2346385,12812508,626.307043086334,2020
"15","Indiana",1599637,1140257,6785528,403.784937590708,2020
"16","Iowa",915310,475947,3190369,436.080277861276,2020
"17","Kansas",1058743,551566,2937880,548.119392214794,2020
"18","Kentucky",817745,923110,4505836,386.355606373601,2020
"19","Louisiana",1516039,928477,4657757,524.826864089303,2020
"20","Maine",328062,243893,1362359,419.826932548616,2020
"21","Maryland",3038980,2054060,6177224,824.486856879401,2020
"22","Massachusetts",2432310,1684520,7029917,585.615733443226,2020
"23","Michigan",2922202,2568182,10077331,544.825212151908,2020
"24","Minnesota",2414132,1156825,5706494,625.770744698934,2020
"25","Mississippi",788504,538853,2961279,448.237737815316,2020
"26","Missouri",2116292,962578,6154913,500.229653936619,2020
"27","Montana",374155,275262,1084225,598.968848716825,2020
"28","Nebraska",584356,597392,1961504,602.470349282999,2020
"29","Nevada",1470322,857270,3104614,749.720255078409,2020
"30","New Hampshire",492445,221643,1377529,518.383279045305,2020
"31","New Jersey",3987323,2148946,9288994,660.595646848302,2020
"32","New Mexico",764550,826722,2117522,751.478378973158,2020
"33","New York",11084264,6509891,20201249,870.943920348687,2020
"34","North Carolina",3615719,2143846,10439388,551.714813167209,2020
"35","North Dakota",257186,179975,779094,561.114576674958,2020
"36","Ohio",4056764,2427867,11799448,549.570708731459,2020
"37","Oklahoma",1139397,788105,3959353,486.822468216398,2020
"38","Oregon",1586873,1515418,4237256,732.146228596998,2020
"39","Pennsylvania",4289933,4221825,13002700,654.614656955863,2020
"40","Rhode Island",513467,257906,1097379,702.923055753755,2020
"41","South Carolina",1417674,801370,5118425,433.540395727201,2020
"42","South Dakota",228941,193969,886667,476.965986103013,2020
"43","Tennessee",2289872,1229643,6910840,509.274559966661,2020
"44","Texas",9353720,6518859,29145505,544.597837642546,2020
"45","Utah",926953,626034,3271616,474.684987480193,2020
"46","Vermont",219299,147495,643077,570.373376749596,2020
"47","Virginia",2700739,2898476,8631393,648.703517497118,2020
"48","Washington",2541568,2085130,7705281,600.458049485801,2020
"49","West Virginia",455379,425740,1793716,491.225478280843,2020
"50","Wisconsin",1922404,1591890,5893718,596.277935252416,2020
"51","Wyoming",231453,221212,576851,784.717370690178,2020
